Club,GP,PTS,W,L,T,G,GA,GD,PKA,PKGA,F,FS,OFF,YC,RC
Philadelphia Union,34,66,20,8,6,57,35,22,4,5,482,405,49,89,2
FC Cincinnati,34,65,20,9,5,52,40,12,3,7,339,374,58,67,1
Inter Miami CF,34,65,19,7,8,81,55,26,4,1,369,356,54,80,3
San Diego FC,34,63,19,9,6,64,41,23,6,7,391,432,66,66,0
Vancouver Whitecaps FC,34,63,18,7,9,66,38,28,11,5,429,396,39,67,1
Los Angeles Football Club,34,60,17,8,9,65,40,25,9,4,393,388,52,57,1
Charlotte FC,34,59,19,13,2,55,46,9,5,9,353,398,47,66,2
Minnesota United FC,34,58,16,8,10,56,39,17,4,5,429,345,53,63,0
New York City Football Club,34,56,17,12,5,50,44,6,7,4,375,358,46,62,0
Seattle Sounders FC,34,55,15,9,10,58,48,10,5,7,348,423,73,57,4
Columbus Crew,34,54,14,8,12,55,51,4,5,2,318,383,80,46,1
Nashville SC,34,54,16,12,6,58,45,13,11,5,417,335,72,60,1
Orlando City,34,53,14,9,11,63,51,12,3,4,333,415,54,72,2
Chicago Fire FC,34,53,15,11,8,68,60,8,6,10,390,370,56,68,2
Austin FC,34,47,13,13,8,37,45,-8,2,6,410,366,65,79,0
Portland Timbers,34,44,11,12,11,41,48,-7,4,6,362,364,58,67,1
FC Dallas,34,44,11,12,11,52,55,-3,5,8,422,405,71,77,4
New York Red Bulls,34,43,12,15,7,48,47,1,8,3,398,354,70,79,2
Real Salt Lake,34,41,12,17,5,38,49,-11,3,9,429,394,64,88,3
Colorado Rapids,34,41,11,15,8,44,56,-12,11,3,325,380,54,62,2
San Jose Earthquakes,34,41,11,15,8,60,63,-3,5,2,380,424,65,81,0
Houston Dynamo,34,37,9,15,10,43,56,-13,4,4,477,428,46,86,2
New England Revolution,34,36,9,16,9,44,51,-7,5,4,384,427,69,69,1
Toronto FC,34,32,6,14,14,37,44,-7,3,5,383,436,45,63,1
St. Louis CITY SC,34,32,8,18,8,44,58,-14,4,9,374,373,57,66,1
LA Galaxy,34,30,7,18,9,46,66,-20,3,4,335,351,45,71,1
CF Montréal,34,28,6,18,10,34,60,-26,4,0,411,441,57,79,2
Atlanta United,34,28,5,16,13,38,63,-25,4,6,349,353,64,65,0
Sporting Kansas City,34,28,7,20,7,46,70,-24,7,9,379,434,43,70,1
D.C. United,34,26,5,18,11,30,66,-36,3,5,469,345,43,90,3
