Team Name,Wins,Losses
Detroit Pistons,44,14
Oklahoma City Thunder,46,15
San Antonio Spurs,43,16
Boston Celtics,39,20
Houston Rockets,37,21
New York Knicks,38,22
Denver Nuggets,37,23
Minnesota Timberwolves,37,23
Cleveland Cavaliers,37,24
Los Angeles Lakers,34,24
Toronto Raptors,34,25
Phoenix Suns,34,26
Philadelphia 76ers,33,26
Orlando Magic,31,27
Golden State Warriors,31,28
Miami Heat,31,29
Atlanta Hawks,30,31
Portland Trail Blazers,29,31
Charlotte Hornets,29,31
LA Clippers,27,31
Milwaukee Bucks,26,32
Chicago Bulls,24,36
Memphis Grizzlies,22,36
Dallas Mavericks,21,38
Utah Jazz,18,41
New Orleans Pelicans,18,42
Washington Wizards,16,42
Brooklyn Nets,15,44
Indiana Pacers,15,45
Sacramento Kings,14,47
