PlayerID,Name,TeamID,Position,Height,Weight,YearsInLeague,BirthYear,BornIn,DraftYear,DraftRound,DraftPick,HeadshotUrl
1,Christian Koloko,1,C,84,230,4,2000,"Douala, Cameroon",2022,2,3,https://cdn.nba.com/headshots/nba/latest/260x190/1631132.png
2,Jock Landale,1,C,83,255,8,1995,"Melbourne, Australia",2018,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629111.png
3,Mouhamed Gueye,1,C,82,210,3,2002,"Dakar, Senegal",2023,2,9,https://cdn.nba.com/headshots/nba/latest/260x190/1631243.png
4,Onyeka Okongwu,1,C,80,235,6,2000,"Chino Hills, CA",2020,1,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630168.png
5,Jalen Johnson,1,F,81,219,5,2001,"Wausau, WI",2021,1,20,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630552.png
6,C.J. McCollum,1,G,75,190,13,1991,"Canton, OH",2013,1,10,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203468.png
7,Dyson Daniels,1,G,79,199,4,2002,"Bendigo, Australia",2022,1,8,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630700.png
8,Gabe Vincent,1,G,75,200,8,1995,"Modesto, CA - Country: Nigeria",2018,0,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629216.png
9,Keaton Wallace,1,G,76,195,5,1998,"Richardson, TX",2021,0,0,https://cdn.nba.com/headshots/nba/latest/260x190/1630811.png
10,Buddy Hield,1,GF,76,220,10,1992,"Freeport, Bahamas",2016,1,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627741.png
11,Nickeil Alexander-Walker,1,GF,77,205,7,1998,"Toronto, Canada",2019,1,17,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png
12,Asa Newell,1,PF,82,220,1,2005,"Atlanta, GA",2025,1,23,https://cdn.nba.com/headshots/nba/latest/260x190/1642854.png
13,Jonathan Kuminga,1,PF,79,225,5,2002,"Kinshasa, Democratic Republic of the Congo",2021,1,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630228.png
14,RayJ Dennis,1,PG,74,180,2,2000,"Oswego, IL",2024,0,0,https://cdn.nba.com/headshots/nba/latest/260x190/1642484.png
15,Caleb Houstan,1,SF,80,205,4,2002,"Milton, Canada",2022,2,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631216.png
16,Corey Kispert,1,SF,78,224,5,1998,"Edmonds, WA",2021,1,15,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630557.png
17,Zaccharie Risacher,1,SF,80,215,2,2004,"Malaga, Spain - Country: France",2024,1,1,https://cdn.nba.com/headshots/nba/latest/260x190/1642258.png
