Name,wins,losses
Atlanta Hawks,29,31
Boston Celtics,38,20
Brooklyn Nets,15,42
Charlotte Hornets,28,31
Chicago Bulls,24,35
Cleveland Cavaliers,37,23
Dallas Mavericks,21,36
Denver Nuggets,37,22
Detroit Pistons,43,14
Golden State Warriors,31,28
Houston Rockets,36,21
Indiana Pacers,15,44
Los Angeles Clippers,27,30
Los Angeles Lakers,34,23
Memphis Grizzlies,21,36
Miami Heat,31,28
Milwaukee Bucks,26,31
Minnesota Timberwolves,36,23
New Orleans Pelicans,17,42
New York Knicks,37,22
Oklahoma City Thunder,45,15
Orlando Magic,31,26
Philadelphia 76ers,32,26
Phoenix Suns,33,26
Portland Trail Blazers,28,31
Sacramento Kings,13,47
San Antonio Spurs,42,16
Toronto Raptors,34,25
Utah Jazz,18,40
Washington Wizards,16,41
