Team,Wins,Losses
Detroit Pistons,40,13
Boston Celtics,35,19
New York Knicks,35,20
Cleveland Cavaliers,34,21
Toronto Raptors,32,23
Philadelphia 76ers,30,24
Orlando Magic,28,25
Miami Heat,29,27
Charlotte Hornets,26,29
Atlanta Hawks,26,30
Chicago Bulls,24,31
Milwaukee Bucks,23,30
Brooklyn Nets,15,38
Indiana Pacers,15,40
Washington Wizards,14,39
Oklahoma City Thunder,42,14
San Antonio Spurs,38,16
Denver Nuggets,35,20
Houston Rockets,33,20
Los Angeles Lakers,33,21
Minnesota Timberwolves,34,22
Phoenix Suns,32,23
Golden State Warriors,29,26
Portland Trail Blazers,27,29
LA Clippers,26,28
Memphis Grizzlies,20,33
Dallas Mavericks,19,35
Utah Jazz,18,38
New Orleans Pelicans,15,41
Sacramento Kings,12,44
