Player,Position,TeamId,DateOfBirth,Height,Weight,College,YearsPlayed
Budda Baker,DB,1,1/10/1996,70,195,Washington,9
Dadrion Taylor-Demerson,DB,1,1/20/2001,70,197,Texas Tech,2
Darren Hall,DB,1,5/2/2000,72,190,San Diego State,4
Denzel Burke,DB,1,11/10/2002,71,190,Ohio State,0
Ekow Boye-Doe,DB,1,11/4/1999,72,177,Kansas State,2
Elijah Jones,DB,1,1/8/2000,73,185,Boston College,2
Garrett Williams,DB,1,6/1/2001,70,192,Syracuse,3
Jaden Davis,DB,1,7/18/2001,70,182,Miami; Oklahoma,1
Jalen Thompson,DB,1,7/18/1998,71,190,Washington State,7
Joey Blount,DB,1,11/16/1998,73,195,Virginia,4
Kei'Trel Clark,DB,1,3/19/2001,70,181,Louisville,3
Kitan Crawford,DB,1,12/31/2001,71,202,Nevada; Texas,0
Max Melton,DB,1,4/15/2002,71,187,Rutgers,2
Sean Murphy-Bunting,DB,1,6/19/1997,72,195,Central Michigan,7
Starling Thomas V,DB,1,1/25/2000,70,194,UAB,3
Steven Gilmore,DB,1,9/17/1999,72,174,Marshall,0
Will Johnson,DB,1,3/29/2003,74,200,Michigan,0
Bilal Nichols,DL,1,9/14/1996,75,313,Delaware,8
Calais Campbell,DL,1,9/1/1986,80,315,Miami,18
Dalvin Tomlinson,DL,1,2/18/1994,75,335,Alabama,9
Dante Stills,DL,1,12/14/1999,76,300,West Virginia,3
Darius Robinson,DL,1,9/13/2001,77,285,Missouri,2
Denzel Daxon,DL,1,3/27/1999,74,313,Illinois; Ohio,1
Justin Jones,DL,1,8/28/1996,75,309,N.C. State,8
Kyon Barrs,DL,1,11/9/2001,74,290,USC,1
L.J. Collier,DL,1,9/12/1995,74,300,TCU,7
PJ Mustipher,DL,1,11/10/1998,76,318,Penn State,1
Walter Nolen,DL,1,10/14/2003,76,296,Mississippi; Texas A&M,0
Chad Ryland,K,1,10/15/1999,72,195,Maryland; Eastern Michigan,3
Akeem Davis-Gaither,LB,1,9/21/1997,74,238,Appalachian State,6
BJ Ojulari,LB,1,4/5/2002,74,248,LSU,3
Baron Browning,LB,1,2/19/1999,75,255,Ohio State,5
Cody Simon,LB,1,4/1/2002,74,229,Ohio State,0
Elliott Brown,LB,1,2/2/1998,77,240,Virginia,0
J.J. Russell,LB,1,10/12/1998,73,225,Memphis,4
Jared Bartlett,LB,1,4/1/2001,74,237,Cincinnati; West Virginia,0
Jordan Burch,LB,1,10/10/2001,76,279,Oregon; South Carolina,0
Josh Sweat,LB,1,3/29/1997,77,265,Florida State,8
Mack Wilson,LB,1,2/14/1998,73,240,Alabama,7
Owen Pappoe,LB,1,9/29/2000,72,230,Auburn,3
Vi Jones,LB,1,5/5/1998,74,225,N.C. State,2
Zaven Collins,LB,1,5/19/1999,76,270,Tulsa,5
Aaron Brewer,LS,1,7/5/1990,77,232,San Diego State,14
Christian Jones,OL,1,5/12/2000,77,305,Texas,2
Demontrey Jacobs,OL,1,11/22/1998,78,315,South Florida Community College; Grambling State,2
Dohnovan West,OL,1,,,,,
Evan Brown,OL,1,9/16/1996,75,320,SMU,7
Hayden Conner,OL,1,4/26/2002,78,314,Texas,0
Hjalte Froholdt,OL,1,8/20/1996,77,310,Arkansas,7
Isaiah Adams,OL,1,7/21/2000,76,316,Illinois; Garden City CC,2
Jon Gaines II,OL,1,5/24/1999,76,315,UCLA,3
Jonah Williams,OL,1,11/17/1997,77,312,Alabama,7
Josh Fryar,OL,1,2/12/2002,77,320,Ohio State,0
Kelvin Beachum,OL,1,6/8/1989,75,308,SMU,14
