Name,abr,conf,stadium
Arizona Cardinals,ARI,NFC,State Farm Stadium
Atlanta Falcons,ATL,NFC,Mercedes-Benz Stadium
Baltimore Ravens,BAL,AFC,M&T Bank Stadium
Buffalo Billsxy,BUF,AFC,Highmark Stadium
Carolina Panthers,CAR,NFC,Bank of America Stadium
Chicago Bears,CHI,NFC,Soldier Field
Cincinnati Bengals,CIN,AFC,Paycor Stadium
Cleveland Browns,CLE,AFC,Huntington Bank Field
Dallas Cowboys,DAL,NFC,AT&T Stadium
Denver Broncos,DEN,AFC,Empower Field at Mile High
Detroit Lions,DET,NFC,Ford Field
Green Bay Packers,GB,NFC,Lambeau Field
Houston Texans,HOU,AFC,NRG Stadium
Indianapolis Colts,IND,AFC,Lucas Oil Stadium
Jacksonville Jaguars,JAX,AFC,EverBank Stadium
Kansas City Chiefs,KC,AFC,GEHA Field at Arrowhead Stadium
Las Vegas Raiders,LV,AFC,Allegiant Stadium
Los Angeles Chargers,LAC,AFC,SoFi Stadium
Los Angeles Rams,LAR,NFC,SoFi Stadium
Miami Dolphins,MIA,AFC,Hard Rock Stadium
Minnesota Vikings,MIN,NFC,U.S. Bank Stadium
New England Patriots,NE,AFC,Gillette Stadium
New Orleans Saints,NO,NFC,Caesars Superdome
New York Giants,NYG,NFC,MetLife Stadium
New York Jets,NYJ,AFC,MetLife Stadium
Philadelphia Eagles,PHI,NFC,Lincoln Financial Field
Pittsburgh Steelers,PIT,AFC,Acrisure Stadium
San Francisco 49ers,SF,NFC,Levi's Stadium
Seattle Seahawks,SEA,NFC,Lumen Field
Tampa Bay Buccaneers,TB,NFC,Raymond James Stadium
Tennessee Titans,TEN,AFC,Nissan Stadium
Washington Commanders,WAS,NFC,Northwest Stadium
